y_test,stack_preds,absolute_error
0.0,16.6063923579008,16.6063923579008
0.0,9.730752905119024,9.730752905119024
6.0,14.710292496042705,8.710292496042705
18.0,21.15352636530613,3.1535263653061314
19.0,20.689041012681198,1.6890410126811979
41.0,11.906234070461638,-29.093765929538364
17.0,13.210706345666301,-3.789293654333699
1.0,9.28600588567665,8.28600588567665
9.0,8.191716166420118,-0.8082838335798819
0.0,7.762443065957746,7.762443065957746
2.0,6.419266195506871,4.419266195506871
4.0,9.559156045441329,5.559156045441329
1.0,8.131198248607124,7.131198248607124
0.0,4.550800767445006,4.550800767445006
0.0,13.497561017608295,13.497561017608295
2.0,10.524340684821684,8.524340684821684
33.0,26.16048847713001,-6.839511522869991
12.0,7.06699398283678,-4.93300601716322
13.0,10.125779366986173,-2.8742206330138274
9.0,6.701401176505079,-2.2985988234949213
0.0,10.646117892225744,10.646117892225744
1.0,11.182406745602858,10.182406745602858
20.0,10.21930584758142,-9.78069415241858
1.0,9.24775951566496,8.24775951566496
20.0,12.992260300522199,-7.007739699477801
3.0,22.97474210140826,19.97474210140826
2.0,14.480402143408595,12.480402143408595
15.0,10.207529793303188,-4.792470206696812
14.0,7.11879815302712,-6.88120184697288
66.0,7.96456845345224,-58.03543154654776
66.0,14.605189549979055,-51.39481045002094
13.0,16.335913688274278,3.335913688274278
8.0,10.207529793303188,2.2075297933031877
0.0,11.775410510693149,11.775410510693149
19.0,8.953782201517893,-10.046217798482107
25.0,10.63857100048229,-14.36142899951771
12.0,8.834694493068795,-3.1653055069312046
33.0,10.207529793303188,-22.792470206696812
24.0,10.01227464401414,-13.98772535598586
14.0,11.384851708475049,-2.6151482915249513
6.0,13.902473960355573,7.902473960355573
0.0,26.6303166700351,26.6303166700351
0.0,7.617011180583178,7.617011180583178
61.0,10.646117892225744,-50.353882107774254
8.0,11.9259713907601,3.9259713907601004
2.0,15.238029636081647,13.238029636081647
2.0,12.97804785916899,10.97804785916899
0.0,3.8888036803362165,3.8888036803362165
26.0,11.640254243851134,-14.359745756148866
3.0,13.849715587375465,10.849715587375465
7.0,11.682232777301353,4.682232777301353
0.0,7.914857356005227,7.914857356005227
0.0,10.13820433525137,10.13820433525137
53.0,14.178982186239486,-38.82101781376051
0.0,16.377892221724498,16.377892221724498
24.0,19.853759646224777,-4.146240353775223
7.0,9.582858021078875,2.5828580210788754
